"Account","Date","Merchant","Description","Amount","Type","Category","Sub-category","Property","Unit","Notes"
"Lofty Holding 5401 Odom Avenue DAO LLC-5401 Odom Ave Operations-8237","October 03, 2025","ECO Systems, LLC  |  INTERNAL_TRANSFER","ECO Systems, LLC  |  INTERNAL_TRANSFER","-6239.21","Transfers & Other","Transfers Between Accounts","General Transfers & Other","5401 Odom Ave","","Reimbursement for OpEx May-Sept"
"Lofty Holding 5401 Odom Avenue DAO LLC-5401 Odom Ave Operations-8237","October 03, 2025","ECO Systems, LLC  |  INTERNAL_TRANSFER","ECO Systems, LLC  |  INTERNAL_TRANSFER","-93.59","Loan Payments & Capex","Other Loan Interest Payments","General Loan Payments & Capex","5401 Odom Ave","","Interest for OpEx 1.5% per month May-Sept"
"Strawberry LFTY402 DAO LLC - 90 Madison-90 Madison Ave Operations-0172","October 03, 2025","AIRBNB PAYMENTS","AIRBNB PAYMENTS  |  Y7GIB7QLL2","677.3","Revenue","Rents","Short Term Rents","90 Madison Ave","",""
"Snow Leopard LFTY0439 DAO LLC - 86 Madison-86 Madison Ave Operations-8724","October 03, 2025","AIRBNB PAYMENTS","AIRBNB PAYMENTS  |  ZOXSNCE7SW","76.81","Revenue","Rents","Short Term Rents","86 Madison Ave","",""
"Lofty Holding 5401 Odom Avenue DAO LLC-5401 Odom Ave Operations-8237","October 03, 2025","ECO Systems, LLC  |  INTERNAL_TRANSFER","ECO Systems, LLC  |  INTERNAL_TRANSFER","-750","Operating Expenses","Management Fees","Property Management","5401 Odom Ave","","Transaction Coordination Fee"
"Lofty Holding 1432 Sara Avenue DAO LLC-1432 Sara Ave Operations-7012","October 03, 2025","STRIPE","STRIPE  |  5PD991 REN","22.5","Revenue","Rents","Long Term Rents","1432 Sara Ave.","",""
"Lofty Holding 1432 Sara Avenue DAO LLC-1432 Sara Ave Operations-7012","October 03, 2025","STRIPE","STRIPE  |  5PD9QT REN","1035","Revenue","Rents","Long Term Rents","1432 Sara Ave.","",""
"Lofty Holding 5541 S Peoria Street DAO LLC-5541 S Peoria St Operations-9125","October 03, 2025","STRIPE","STRIPE  |  GX3ZPB REN","1215","Revenue","Rents","Long Term Rents","5541 S Peoria St","",""
"Lofty Holding 5541 S Peoria Street DAO LLC-5541 S Peoria St Operations-9125","October 03, 2025","STRIPE","STRIPE  |  GKGHSK REN","139.5","Revenue","Rents","Long Term Rents","5541 S Peoria St","",""
"Heron LFTY0314 DAO LLC - 88 Madison-88 Madison Ave Operations-0181","October 03, 2025","Amazon.com*NV4L83O41","Purchase from Amazon.com*NV4L83O41  |  Address: Amzn.com/bill, WA, US  |  **2577","-41.41","Operating Expenses","Supplies","General Operating Expenses","88 Madison Ave","",""
"Lofty Holding 5401 Odom Avenue DAO LLC-5401 Odom Ave Operations-8237","October 02, 2025","Wire from CNAT FW LLC | PROCEEDS/ 5401 ODOM AVENUE/ CNAT 97 2 528 6071/ 25080074CNTFW","Wire from CNAT FW LLC | PROCEEDS/ 5401 ODOM AVENUE/ CNAT 97 2 528 6071/ 25080074CNTFW","385842.77","Property Transactions","Sale Proceeds","General Property Transactions","5401 Odom Ave","",""
"Beagle LFTY0454 DAO LLC - 22164 Umland Circle-22164 Umland Circle Operations-4909","October 02, 2025","ECO Systems, LLC  |  INTERNAL_TRANSFER","ECO Systems, LLC  |  INTERNAL_TRANSFER","-1050","Transfers & Other","Transfers Between Accounts","General Transfers & Other","22164 Umland Circle","","Partial Reimbursement for Cleaning $2620 ($280 x 9 + $100 trash)"
"Lychee LFTY0431 DAO LLC - 84 Madison-84 Madison Ave Reserves-1767","October 02, 2025","Interest September 2025","Interest September 2025","0.02","Transfers & Other","Interest Received","General Transfers & Other","84 Madison Ave","",""
"Strawberry LFTY402 DAO LLC - 90 Madison-90 Madison Ave Reserves-0156","October 02, 2025","Interest September 2025","Interest September 2025","1.37","Transfers & Other","Interest Received","General Transfers & Other","90 Madison Ave","",""
"Heron LFTY0314 DAO LLC - 88 Madison-88 Madison Ave Operations-0181","October 02, 2025","AIRBNB PAYMENTS","AIRBNB PAYMENTS  |  TT5IHR3ULF","255.01","Revenue","Rents","Short Term Rents","88 Madison Ave","",""
"Lion LFTY0435 DAO LLC - 804 S Quitman-804 S Quitman St Reserves-1601","October 02, 2025","Interest September 2025","Interest September 2025","0.27","Transfers & Other","Interest Received","General Transfers & Other","804 S Quitman St","",""
"Pelican LFTY0316 DAO LLC - 326-332 S Alcott-326-332 S Alcott Operations-4400","October 02, 2025","Baselane","Baselane  |  Rent#1013551","1500","Revenue","Rents","General Revenue","326 South Alcott Street","326",""
"Heron LFTY0314 DAO LLC - 88 Madison-88 Madison Ave Operations-0181","October 02, 2025","AMAZON MKTPL*NJ6R63IO1","Purchase from AMAZON MKTPL*NJ6R63IO1  |  Address: Amzn.com/bill, WA, US  |  **0745","-52.55","Operating Expenses","Cleaning & Maintenance","Pest","88 Madison Ave","","Bait Stations + Carpet Tape"
"Manually Added- undefined","October 01, 2025","berrodinbb.com","","119.03","Revenue","Rents","Long Term Rents","428 Cross St.","Unit 2","Tenant relocation for water shut-off, paid via CSR x7519"
"Pelican LFTY0316 DAO LLC - 326-332 S Alcott-326-332 S Alcott Operations-4400","October 01, 2025","ECO Systems, LLC  |  INTERNAL_TRANSFER","ECO Systems, LLC  |  INTERNAL_TRANSFER","-599","Operating Expenses","Management Fees","Property Management","326 South Alcott Street","","PM Fees September"
"ECO Systems, LLC-ECO Systems Operations-2624","October 01, 2025","Lofty Holding 7542 & 7656 S Colfax Avenue DAO LLC  |  INTERNAL_TRANSFER","Lofty Holding 7542 & 7656 S Colfax Avenue DAO LLC  |  INTERNAL_TRANSFER","500","Transfers & Other","Transfers Between Accounts","General Transfers & Other","7656 S Colfax Ave","","Reimbursement for Expenses"
"Lofty Holding 7542 & 7656 S Colfax Avenue DAO LLC-Lofty Holding 7542 & 7656 S Colfax Ave Operations-9094","October 01, 2025","ECO Systems, LLC  |  INTERNAL_TRANSFER","ECO Systems, LLC  |  INTERNAL_TRANSFER","-500","Transfers & Other","Transfers Between Accounts","General Transfers & Other","7656 S Colfax Ave","","Reimbursement for Expenses"
"Snow Leopard LFTY0439 DAO LLC - 86 Madison-86 Madison Ave Operations-8724","October 01, 2025","AIRBNB PAYMENTS","AIRBNB PAYMENTS  |  TQTAIY5E36","754.33","Revenue","Rents","Short Term Rents","86 Madison Ave","",""
"Lychee LFTY0431 DAO LLC - 84 Madison-84 Madison Ave Operations-2073","October 01, 2025","AIRBNB PAYMENTS","AIRBNB PAYMENTS  |  TQTAIY5E36","462.11","Revenue","Rents","Short Term Rents","84 Madison Ave","",""
"Heron LFTY0314 DAO LLC - 88 Madison-88 Madison Ave Operations-0181","October 01, 2025","AIRBNB PAYMENTS","AIRBNB PAYMENTS  |  TQTAIY5E36","254.33","Revenue","Rents","Short Term Rents","88 Madison Ave","",""
"Poodle LFTY0452 DAO LLC - 85-104 Alawa-85-104 Alawa Pl Operations-1176","October 01, 2025","HAWN ELECTRIC","HAWN ELECTRIC  |  ELEC PAYMT","-90.98","Operating Expenses","Repairs","General Operating Expenses","85-104 Alawa Pl","",""
"Heron LFTY0314 DAO LLC - 88 Madison-88 Madison Ave Operations-0181","October 01, 2025","Walmart.com","Purchase from Walmart.com  |  Address: Bentonville, AR, US  |  **0745","-62.29","Operating Expenses","Supplies","General Operating Expenses","88 Madison Ave","",""
"Snow Leopard LFTY0439 DAO LLC - 86 Madison-86 Madison Ave Operations-8724","October 01, 2025","HOMEDEPOT.COM","Purchase from HOMEDEPOT.COM  |  Address: 800-430-3376, GA, US  |  **3700","-91.79","Operating Expenses","Repairs","Repairs Supplies","86 Madison Ave","",""
"ECO Systems, LLC-ECO Systems Operations-2624","September 30, 2025","CASH APP*KIYA","CASH APP*KIYA, Oakland, CA, US  |  **4225","-300","Operating Expenses","Cleaning & Maintenance","Gardening & Landscaping","15555 Millard Ave","","Reese Cleanout"
"Heron LFTY0314 DAO LLC - 88 Madison-88 Madison Ave Operations-0181","September 30, 2025","AIRBNB PAYMENTS","AIRBNB PAYMENTS  |  KUGI3CVPIN","89.48","Revenue","Rents","Short Term Rents","88 Madison Ave","",""
"Strawberry LFTY402 DAO LLC - 90 Madison-90 Madison Ave Operations-0172","September 30, 2025","AIRBNB PAYMENTS","AIRBNB PAYMENTS  |  FM2TXFWCG6","185.93","Revenue","Rents","Short Term Rents","90 Madison Ave","",""
"Heron LFTY0314 DAO LLC - 88 Madison-88 Madison Ave Operations-0181","September 30, 2025","AIRBNB PAYMENTS","AIRBNB PAYMENTS  |  ADIBBVEHVV","251.04","Revenue","Rents","Short Term Rents","88 Madison Ave","",""
"Strawberry LFTY402 DAO LLC - 90 Madison-90 Madison Ave Operations-0172","September 30, 2025","AIRBNB PAYMENTS","AIRBNB PAYMENTS  |  ADIBBVEHVV","332.24","Revenue","Rents","Short Term Rents","90 Madison Ave","",""
"Beagle LFTY0454 DAO LLC - 22164 Umland Circle-22164 Umland Circle Operations-4909","September 30, 2025","AIRBNB 4977","AIRBNB 4977  |  AIRBNB","1166.97","Revenue","Rents","Short Term Rents","22164 Umland Circle","",""
"Heron LFTY0314 DAO LLC - 88 Madison-88 Madison Ave Operations-0181","September 30, 2025","AMAZON MKTPL*NJ01P4QY1","Purchase from AMAZON MKTPL*NJ01P4QY1  |  Address: Amzn.com/bill, WA, US  |  **0745","-24.6","Operating Expenses","Supplies","General Operating Expenses","88 Madison Ave","","Storage Cart"
"Snow Leopard LFTY0439 DAO LLC - 86 Madison-86 Madison Ave Operations-8724","September 30, 2025","Walmart.com","Purchase from Walmart.com  |  Address: Bentonville, AR, US  |  **3700","-13.58","Operating Expenses","Supplies","General Operating Expenses","86 Madison Ave","","3-Drawer Cart"
"Snow Leopard LFTY0439 DAO LLC - 86 Madison-86 Madison Ave Operations-8724","September 30, 2025","Walmart.com","Purchase from Walmart.com  |  Address: Bentonville, AR, US  |  **3700","-93.97","Operating Expenses","Supplies","General Operating Expenses","86 Madison Ave","","2-pack Faux Wood Blinds"
"Beagle LFTY0454 DAO LLC - 22164 Umland Circle-22164 Umland Circle Operations-4909","September 30, 2025","FRONTIER COMM CORP WEB","Purchase from FRONTIER COMM CORP WEB  |  Address: WWW.FRONTIER., CT, US  |  **7248","-64.06","Operating Expenses","Utilities","Phone, Cable & Internet","22164 Umland Circle","",""
"Snow Leopard LFTY0439 DAO LLC - 86 Madison-86 Madison Ave Operations-8724","September 29, 2025","AIRBNB PAYMENTS","AIRBNB PAYMENTS  |  PZSAQDK7P2","446.29","Revenue","Rents","Short Term Rents","86 Madison Ave","",""
"Heron LFTY0314 DAO LLC - 88 Madison-88 Madison Ave Operations-0181","September 29, 2025","AIRBNB PAYMENTS","AIRBNB PAYMENTS  |  PZSAQDK7P2","439.99","Revenue","Rents","Short Term Rents","88 Madison Ave","",""
"Lion LFTY0435 DAO LLC - 804 S Quitman-804 S Quitman St Operations-1879","September 29, 2025","SPI*DENVER WATER","Purchase from SPI*DENVER WATER  |  Address: 303-893-2444, CO, US  |  **5236","-79.1","Operating Expenses","Utilities","Water & Sewer","804 S Quitman St","",""
"Pelican LFTY0316 DAO LLC - 326-332 S Alcott-326-332 S Alcott Operations-4400","September 29, 2025","SPI*DENVER WATER","Purchase from SPI*DENVER WATER  |  Address: 303-893-2444, CO, US  |  **4288","-155.36","Operating Expenses","Utilities","Water & Sewer","326 South Alcott Street","",""
"ECO Systems, LLC-Hemlane Operations-4420","September 29, 2025","STRIPE","STRIPE  |  GVK9QG REN","971","Revenue","Rents","Long Term Rents","25 Circle Dr","","October Rent"
"Manually Added- Heron LFTY0314 DAO LLC - 88 Madison-88 Madison Ave Operations-0181","September 28, 2025","HOSPITABLE.COM","Purchase from HOSPITABLE.COM  |  Address: 321-7107258, CA, US  |  **1559","-68.3","Operating Expenses","Other Operating Expenses","Software Subscriptions","88 Madison Ave","",""
"Manually Added- Heron LFTY0314 DAO LLC - 88 Madison-88 Madison Ave Operations-0181","September 28, 2025","HOSPITABLE.COM","Purchase from HOSPITABLE.COM  |  Address: 321-7107258, CA, US  |  **1559","-51.21","Operating Expenses","Other Operating Expenses","Software Subscriptions","90 Madison Ave","",""
"Manually Added- Heron LFTY0314 DAO LLC - 88 Madison-88 Madison Ave Operations-0181","September 28, 2025","HOSPITABLE.COM","Purchase from HOSPITABLE.COM  |  Address: 321-7107258, CA, US  |  **1559","-17.07","Operating Expenses","Other Operating Expenses","Software Subscriptions","3560 Saint Albans Rd","",""
"Manually Added- Heron LFTY0314 DAO LLC - 88 Madison-88 Madison Ave Operations-0181","September 28, 2025","HOSPITABLE.COM","Purchase from HOSPITABLE.COM  |  Address: 321-7107258, CA, US  |  **1559","-17.07","Operating Expenses","Other Operating Expenses","Software Subscriptions","22164 Umland Circle","",""
"Manually Added- Heron LFTY0314 DAO LLC - 88 Madison-88 Madison Ave Operations-0181","September 28, 2025","HOSPITABLE.COM","Purchase from HOSPITABLE.COM  |  Address: 321-7107258, CA, US  |  **1559","-17.07","Operating Expenses","Other Operating Expenses","Software Subscriptions","22 W Main St","",""
"Manually Added- Heron LFTY0314 DAO LLC - 88 Madison-88 Madison Ave Operations-0181","September 28, 2025","HOSPITABLE.COM","Purchase from HOSPITABLE.COM  |  Address: 321-7107258, CA, US  |  **1559","-34.14","Operating Expenses","Other Operating Expenses","Software Subscriptions","84 Madison Ave","",""
"Manually Added- Heron LFTY0314 DAO LLC - 88 Madison-88 Madison Ave Operations-0181","September 28, 2025","HOSPITABLE.COM","Purchase from HOSPITABLE.COM  |  Address: 321-7107258, CA, US  |  **1559","-34.14","Operating Expenses","Other Operating Expenses","Software Subscriptions","86 Madison Ave","",""
"Poodle LFTY0452 DAO LLC - 85-104 Alawa-85-104 Alawa Pl Operations-1176","September 28, 2025","Daniel Murrey  |  TRANSFER_OUT","Daniel Murrey  |  TRANSFER_OUT","-632.11","Loan Payments & Capex","Other Loan Payments","General Loan Payments & Capex","85-104 Alawa Pl","","Loan Payment 7000 for Furnishings"
"Heron LFTY0314 DAO LLC - 88 Madison-88 Madison Ave Operations-0181","September 28, 2025","HULU","HULU, HULU, SANTA MONICA, CA, US  |  **3073","-2.99","Operating Expenses","Utilities","Phone, Cable & Internet","88 Madison Ave","",""
"ECO Systems, LLC-Aligned Operations-5957","September 28, 2025","LAWNCARE* LAWNSTARTER","Purchase from LAWNCARE* LAWNSTARTER  |  Address: LAWNSTARTER.C, TX, US  |  **1327","-55.59","Operating Expenses","Cleaning & Maintenance","Gardening & Landscaping","1518 Dille Rd","",""
"Lion LFTY0435 DAO LLC - 804 S Quitman-804 S Quitman St Operations-1879","September 28, 2025","Withdraw at CIRCLE K #27-K02, 3805 KIPLING  |  Address: WHEAT RIDGE, CO, US  |  **6267","Withdraw at CIRCLE K #27-K02, 3805 KIPLING  |  Address: WHEAT RIDGE, CO, US  |  **6267","-500","Transfers & Other","Transfers Between Accounts","General Transfers & Other","804 S Quitman St","","For Zelle to Elevated Home Remodeling 2500"
"Lion LFTY0435 DAO LLC - 804 S Quitman-804 S Quitman St Operations-1879","September 28, 2025","Withdraw at CIRCLE K #27-K02, 3805 KIPLING  |  Address: WHEAT RIDGE, CO, US  |  **6267","Withdraw at CIRCLE K #27-K02, 3805 KIPLING  |  Address: WHEAT RIDGE, CO, US  |  **6267","-500","Transfers & Other","Transfers Between Accounts","General Transfers & Other","804 S Quitman St","","For Zelle to Elevated Home Remodeling 2500"
"Earl Vanze Co-Faraday Rentals-4078","September 28, 2025","Lion LFTY0435 DAO LLC  |  INTERNAL_TRANSFER","Lion LFTY0435 DAO LLC  |  INTERNAL_TRANSFER","1000","Transfers & Other","Transfers Between Accounts","General Transfers & Other","804 S Quitman St","","For Zelle to Elevated Home Remodeling 2500"
"Lion LFTY0435 DAO LLC - 804 S Quitman-804 S Quitman St Operations-1879","September 28, 2025","Earl Vanze Co  |  INTERNAL_TRANSFER","Earl Vanze Co  |  INTERNAL_TRANSFER","-1000","Transfers & Other","Transfers Between Accounts","General Transfers & Other","804 S Quitman St","","For Zelle to Elevated Home Remodeling 2500"
"ECO Systems, LLC-ECO Systems Operations-2624","September 28, 2025","Lion LFTY0435 DAO LLC  |  INTERNAL_TRANSFER","Lion LFTY0435 DAO LLC  |  INTERNAL_TRANSFER","1000","Transfers & Other","Transfers Between Accounts","General Transfers & Other","804 S Quitman St","","For Zelle to Elevated Home Remodeling 2500"
"Lion LFTY0435 DAO LLC - 804 S Quitman-804 S Quitman St Operations-1879","September 28, 2025","ECO Systems, LLC  |  INTERNAL_TRANSFER","ECO Systems, LLC  |  INTERNAL_TRANSFER","-1000","Transfers & Other","Transfers Between Accounts","General Transfers & Other","804 S Quitman St","","For Zelle to Elevated Home Remodeling 2500"
"ECO Systems, LLC-ECO Systems Operations-2624","September 28, 2025","PAYLESS POWER","Purchase from PAYLESS POWER  |  Address: 888-4492735, TX, US  |  **4225","-40","Operating Expenses","Utilities","Electric","5401 Odom Ave","",""
"ECO Systems, LLC-ECO Systems Operations-2624","September 27, 2025","VENMO *Erasto Castillo","VENMO *Erasto Castillo, Visa Direct, NY, US  |  **4225","-600","Operating Expenses","Supplies","General Operating Expenses","22164 Umland Circle","","Madrone Firewood TO BE REIMBURSED"
"ECO Systems, LLC-ECO Systems Operations-2624","September 27, 2025","VENMO *PAREJA LANDSCAPI","Purchase from VENMO *PAREJA LANDSCAPI  |  Address: 402-935-7733, NY, US  |  **4225","-150","Operating Expenses","Cleaning & Maintenance","Gardening & Landscaping","804 S Quitman St","",""
"Grape LFTY403 DAO LLC - 724 3rd Ave-724 3rd Ave Operations-4314","September 27, 2025","LOWES #01784*","Return from LOWES #01784*  |  Address: GLENMONT, NY, US  |  **1599","124.68","Operating Expenses","Repairs","Repairs Supplies","724 3rd Ave","",""
"ECO Systems, LLC-ECO Systems Operations-2624","September 26, 2025","Lofty Holding 1518 Dille Road DAO LLC  |  INTERNAL_TRANSFER","Lofty Holding 1518 Dille Road DAO LLC  |  INTERNAL_TRANSFER","1097.25","Transfers & Other","Transfers Between Accounts","General Transfers & Other","1321 Allendale Ave","",""
"Lofty Holding 1518 Dille Road DAO LLC - Ohio 3-Prop-1321 Allendale Ave Operations-1138","September 26, 2025","ECO Systems, LLC  |  INTERNAL_TRANSFER","ECO Systems, LLC  |  INTERNAL_TRANSFER","-1097.25","Transfers & Other","Transfers Between Accounts","General Transfers & Other","1321 Allendale Ave","",""
"ECO Systems, LLC-ECO Systems Operations-2624","September 26, 2025","Lofty Holding 1518 Dille Road DAO LLC  |  INTERNAL_TRANSFER","Lofty Holding 1518 Dille Road DAO LLC  |  INTERNAL_TRANSFER","1431.01","Transfers & Other","Transfers Between Accounts","General Transfers & Other","1518 Dille Rd","","Consolidation"
"Lofty Holding 1518 Dille Road DAO LLC - Ohio 3-Prop-1518 Dille Rd Operations-9343","September 26, 2025","ECO Systems, LLC  |  INTERNAL_TRANSFER","ECO Systems, LLC  |  INTERNAL_TRANSFER","-1431.01","Transfers & Other","Transfers Between Accounts","General Transfers & Other","1518 Dille Rd","","Consolidation"
"Lion LFTY0435 DAO LLC - 804 S Quitman-804 S Quitman St Operations-1879","September 26, 2025","QUANTUM FIBER","QUANTUM FIBER  |  QUANTUM FI","-50","Operating Expenses","Utilities","General Operating Expenses","804 S Quitman St","",""
"Poodle LFTY0452 DAO LLC - 85-104 Alawa-85-104 Alawa Pl Operations-1176","September 26, 2025","Ariel Perreira","Ariel Perreira  |  Invoices","-120","Operating Expenses","Cleaning & Maintenance","Cleaning & Janitorial","85-104 Alawa Pl","",""
"ECO Systems, LLC-Aligned Operations-5957","September 26, 2025","HEMLANE","HEMLANE  |  798WQJ MAI","-2730","Loan Payments & Capex","Capital Expenditures","Remodeling","428 Cross St.","Unit 3",""
"ECO Systems, LLC-Aligned Operations-5957","September 26, 2025","HEMLANE","Returned received ACH transaction #336158995 due to: Account has insufficient funds","2730","Loan Payments & Capex","Capital Expenditures","Remodeling","428 Cross St.","Unit 3",""
"Poodle LFTY0452 DAO LLC - 85-104 Alawa-85-104 Alawa Pl Operations-1176","September 26, 2025","AIRBNB PAYMENTS","AIRBNB PAYMENTS  |  M7R5BJ3BHC","1333.18","Revenue","Rents","Short Term Rents","85-104 Alawa Pl","",""
"Strawberry LFTY402 DAO LLC - 90 Madison-90 Madison Ave Operations-0172","September 26, 2025","AIRBNB PAYMENTS","AIRBNB PAYMENTS  |  6LUGDPQH56","697.13","Revenue","Rents","Short Term Rents","90 Madison Ave","",""
"ECO Systems, LLC-Aligned Operations-5957","September 26, 2025","LAWNCARE* LAWNSTARTER","Purchase from LAWNCARE* LAWNSTARTER  |  Address: LAWNSTARTER.C, TX, US  |  **1327","-112.99","Operating Expenses","Cleaning & Maintenance","Gardening & Landscaping","5541 S Peoria St","",""
"Heron LFTY0314 DAO LLC - 88 Madison-88 Madison Ave Operations-0181","September 26, 2025","ARCADIA","Purchase from ARCADIA  |  Address: ARCADIA.COM, DC, US  |  **4388","-305.12","Operating Expenses","Utilities","Gas & Electric","88 Madison Ave","",""
"Manually Added- Grape LFTY403 DAO LLC - 724 3rd Ave-724 3rd Ave Operations-4314","September 25, 2025","ECO Systems, LLC  |  INTERNAL_TRANSFER #2","ECO Systems, LLC  |  INTERNAL_TRANSFER","420.72","Loan Payments & Capex","Mortgage Payments","General Loan Payments & Capex","724 3rd Ave","","November 2025 Principal and Interest"
"Manually Added- Grape LFTY403 DAO LLC - 724 3rd Ave-724 3rd Ave Operations-4314","September 25, 2025","ECO Systems, LLC  |  INTERNAL_TRANSFER #1","ECO Systems, LLC  |  INTERNAL_TRANSFER","420.72","Loan Payments & Capex","Mortgage Payments","General Loan Payments & Capex","724 3rd Ave","","October 2025 Principal and Interest"
"Grape LFTY403 DAO LLC - 724 3rd Ave-724 3rd Ave Operations-4314","September 25, 2025","LOWE'S #1177","Purchase from LOWE'S #1177  |  Address: LATHAM, NY, US  |  **1599","-1263.35","Operating Expenses","Repairs","Repairs Supplies","724 3rd Ave","",""
"ECO Systems, LLC-ECO Systems Operations-2624","September 25, 2025","ECO Systems, LLC  |  INTERNAL_TRANSFER","ECO Systems, LLC  |  INTERNAL_TRANSFER","-2730","Transfers & Other","Transfers Between Accounts","General Transfers & Other","428 Cross St.","","Unit 3 Turn Repairs Deposit 50 percent"
"ECO Systems, LLC-Aligned Operations-5957","September 25, 2025","ECO Systems, LLC  |  INTERNAL_TRANSFER","ECO Systems, LLC  |  INTERNAL_TRANSFER","2730","Transfers & Other","Transfers Between Accounts","General Transfers & Other","428 Cross St.","","Unit 3 Turn Repairs Deposit 50 percent"
"Snow Leopard LFTY0439 DAO LLC - 86 Madison-86 Madison Ave Operations-8724","September 25, 2025","Kyle Leese  |  TRANSFER_OUT","Kyle Leese  |  TRANSFER_OUT","-273.86","Loan Payments & Capex","Other Loan Payments","General Loan Payments & Capex","86 Madison Ave","","Capital Call $9000 6/25/25"
"Heron LFTY0314 DAO LLC - 88 Madison-88 Madison Ave Operations-0181","September 25, 2025","VRBO","VRBO  |  PAYMENT","116.73","Revenue","Rents","Short Term Rents","88 Madison Ave","",""
"Poodle LFTY0452 DAO LLC - 85-104 Alawa-85-104 Alawa Pl Operations-1176","September 25, 2025","Ariel Perreira","Ariel Perreira  |  Invoices","-120","Operating Expenses","Cleaning & Maintenance","Cleaning & Janitorial","85-104 Alawa Pl","",""
"ECO Systems, LLC-ECO Systems Operations-2624","September 25, 2025","USPS.COM CLICKNSHIP","Purchase from USPS.COM CLICKNSHIP  |  Address: 800-344-7779, DC, US  |  **4225","-9.7","Operating Expenses","Supplies","Office Supplies & Postage","7656 S Colfax Ave","","IL SOS Registration Form for WY DAO LLC"
"ECO Systems, LLC-ECO Systems Operations-2624","September 25, 2025","ATMOS ENERGY","Purchase from ATMOS ENERGY  |  Address: 888-286-6700, TX, US  |  **4225","-52.89","Operating Expenses","Utilities","Gas","5401 Odom Ave","",""
"ECO Systems, LLC-ECO Systems Operations-2624","September 25, 2025","PAYLESS POWER","Purchase from PAYLESS POWER  |  Address: 888-4492735, TX, US  |  **4225","-40","Operating Expenses","Utilities","Electric","5401 Odom Ave","",""
"ECO Systems, LLC-Aligned Operations-5957","September 24, 2025","Lofty Holding 25 Circle Drive DAO LLC  |  TRANSFER_O","Lofty Holding 25 Circle Drive DAO LLC  |  TRANSFER_O","1254.55","Transfers & Other","Transfers Between Accounts","General Transfers & Other","25 Circle Dr","","25 Circle Dr Net Rents"
"ECO Systems, LLC-Aligned Operations-5957","September 24, 2025","Lofty Holding 566 Nash Street DAO LLC  |  TRANSFER_O","Lofty Holding 566 Nash Street DAO LLC  |  TRANSFER_O","1656.57","Transfers & Other","Transfers Between Accounts","General Transfers & Other","566 Nash St","","July and August Net Rents"
"Heron LFTY0314 DAO LLC - 88 Madison-88 Madison Ave Operations-0181","September 24, 2025","AIRBNB PAYMENTS","AIRBNB PAYMENTS  |  3DMN7SB3TM","434.45","Revenue","Rents","Short Term Rents","88 Madison Ave","",""
"Snow Leopard LFTY0439 DAO LLC - 86 Madison-86 Madison Ave Operations-8724","September 24, 2025","AIRBNB PAYMENTS","AIRBNB PAYMENTS  |  3DMN7SB3TM","1248.23","Revenue","Rents","Short Term Rents","86 Madison Ave","",""
"ECO Systems, LLC-ECO Systems Operations-2624","September 24, 2025","SP+AFF* YALE HOME","Purchase from SP+AFF* YALE HOME  |  Address: AFFIRM.COM, CA, US  |  **4225","-112.06","Loan Payments & Capex","Capital Expenditures","New Furniture & Equipment","22 W Main St","","4x Yale Assure Lock 2"
"Strawberry LFTY402 DAO LLC - 90 Madison-90 Madison Ave Operations-0172","September 24, 2025","ARCADIA","Purchase from ARCADIA  |  Address: ARCADIA.COM, DC, US  |  **9445","-86.71","Operating Expenses","Utilities","Electric","90 Madison Ave","",""
"Heron LFTY0314 DAO LLC - 88 Madison-88 Madison Ave Operations-0181","September 24, 2025","ARCADIA","Purchase from ARCADIA  |  Address: ARCADIA.COM, DC, US  |  **4388","-492.51","Operating Expenses","Utilities","Gas & Electric","88 Madison Ave","",""
"Lychee LFTY0431 DAO LLC - 84 Madison-84 Madison Ave Operations-2073","September 24, 2025","ARCADIA","Purchase from ARCADIA  |  Address: ARCADIA.COM, DC, US  |  **6813","-24.68","Operating Expenses","Utilities","Gas & Electric","84 Madison Ave","",""
"Strawberry LFTY402 DAO LLC - 90 Madison-90 Madison Ave Operations-0172","September 24, 2025","ARCADIA","Purchase from ARCADIA  |  Address: ARCADIA.COM, DC, US  |  **9445","-305.14","Operating Expenses","Utilities","Electric","90 Madison Ave","",""
"Lychee LFTY0431 DAO LLC - 84 Madison-84 Madison Ave Operations-2073","September 24, 2025","ARCADIA","Purchase from ARCADIA  |  Address: ARCADIA.COM, DC, US  |  **6813","-179.82","Operating Expenses","Utilities","Gas & Electric","84 Madison Ave","",""
"Manually Added- Grape LFTY403 DAO LLC - 724 3rd Ave-724 3rd Ave Operations-4314","September 23, 2025","ECO Systems, LLC  |  INTERNAL_TRANSFER #1","ECO Systems, LLC  |  INTERNAL_TRANSFER","420.72","Loan Payments & Capex","Mortgage Payments","General Loan Payments & Capex","724 3rd Ave","","September 2025 Principal and Interest"
"Manually Added- ECO Systems, LLC-ECO Systems Operations-2624","September 23, 2025","VENMO *Evan Chen, Visa Direct, NY, US  |  **4225 #4","VENMO *Evan Chen, Visa Direct, NY, US  |  **4225","-353.75","Operating Expenses","Cleaning & Maintenance","Common Area","90 Madison Ave","","84-90 7/10-9/9 CAM and Pest"
