Account,Date,Merchant,Description,Amount,Type,Category,Sub-category,Property,Unit,Notes
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"March 09, 2026",Grape LFTY403 DAO LLC  |  INTERNAL_TRANSFER,Grape LFTY403 DAO LLC  |  INTERNAL_TRANSFER,108,Transfers & Other,Transfers Between Accounts,,724 3rd Ave,,Orkin Pest Reimbursement 11/4/25
"ECO Systems, LLC-ECO Systems Operations-2624","March 09, 2026",Heron LFTY0314 DAO LLC  |  INTERNAL_TRANSFER,Heron LFTY0314 DAO LLC  |  INTERNAL_TRANSFER,-200.95,Transfers & Other,Transfers Between Accounts,,22 W Main St,,2025 Reconciliation Reimbursement
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"March 09, 2026","ECO Systems, LLC  |  INTERNAL_TRANSFER","ECO Systems, LLC  |  INTERNAL_TRANSFER",200.95,Transfers & Other,Transfers Between Accounts,,22 W Main St,,2025 Reconciliation Reimbursement
"ECO Systems, LLC-ECO Systems Operations-2624","March 09, 2026",Heron LFTY0314 DAO LLC  |  INTERNAL_TRANSFER,Heron LFTY0314 DAO LLC  |  INTERNAL_TRANSFER,-354,Transfers & Other,Transfers Between Accounts,,3560 Saint Albans Rd,,Dec 2024-Oct 2025 Reconciliation Reimbursement
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"March 09, 2026","ECO Systems, LLC  |  INTERNAL_TRANSFER","ECO Systems, LLC  |  INTERNAL_TRANSFER",354,Transfers & Other,Transfers Between Accounts,,3560 Saint Albans Rd,,Dec 2024-Oct 2025 Reconciliation Reimbursement
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"March 09, 2026",Strawberry LFTY402 DAO LLC  |  INTERNAL_TRANSFER,Strawberry LFTY402 DAO LLC  |  INTERNAL_TRANSFER,1377.51,Transfers & Other,Transfers Between Accounts,,90 Madison Ave,,May-Dec 2025 Reconciliation Reimbursement
Strawberry LFTY402 DAO LLC-90 Madison Ave Operations-0172,"March 09, 2026",Heron LFTY0314 DAO LLC  |  INTERNAL_TRANSFER,Heron LFTY0314 DAO LLC  |  INTERNAL_TRANSFER,-1377.51,Transfers & Other,Transfers Between Accounts,,90 Madison Ave,,May-Dec 2025 Reconciliation Reimbursement
Strawberry LFTY402 DAO LLC-90 Madison Ave Operations-0172,"March 09, 2026","ECO Systems, LLC  |  INTERNAL_TRANSFER","ECO Systems, LLC  |  INTERNAL_TRANSFER",-1405.89,,,,90 Madison Ave,,Feb 2026 PM Fees 25 percent
Ecosystems Asset Recovery Lending DAO LLC-EARLDAO Operations-1697,"March 09, 2026",Lofty Holding 3905 E 189th Street DAO LLC  |  TRANSFER_O,Lofty Holding 3905 E 189th Street DAO LLC  |  TRANSFER_O,-23.52,Loan Payments & Capex,Other Loan Interest Payments,,3905 E 189th St,,EARLDAO Loan Interest on 700 USD Principal
PELICAN LFTY0316 DAO LLC-326-332 S Alcott Operations-4400,"March 09, 2026",STRIPE,STRIPE  |  CRGFMR:DES,1500,,,,326 South Alcott Street,,
PELICAN LFTY0316 DAO LLC-326-332 S Alcott Operations-4400,"March 09, 2026",STRIPE,STRIPE  |  CRGNQN:REN,1500,,,,326 South Alcott Street,,
Grape LFTY403 DAO LLC-724 3rd Ave Operations-4314,"March 09, 2026",Baselane,Baselane  |  Rent#1322032,900,Revenue,Rents,,724 3rd Ave,,
Lofty Holding 1518 Dille Road DAO LLC-1518 Dille Rd Operations-9343,"March 09, 2026",Lofty Holding 1518 Dille Road DAO LLC  |  INTERNAL_TRANSFER,Lofty Holding 1518 Dille Road DAO LLC  |  INTERNAL_TRANSFER,2047.4,Transfers & Other,Transfers Between Accounts,,1518 Dille Rd,,Consolidation for Plumbing Repair
Lofty Holding 1518 Dille Road DAO LLC-1321 Allendale Ave Operations-1138,"March 09, 2026",Lofty Holding 1518 Dille Road DAO LLC  |  INTERNAL_TRANSFER,Lofty Holding 1518 Dille Road DAO LLC  |  INTERNAL_TRANSFER,-2047.4,Transfers & Other,Transfers Between Accounts,,1518 Dille Rd,,Consolidation for Plumbing Repair
"ECO Systems, LLC-ECO Systems Operations-2624","March 08, 2026",SAMSCLUB.COM,"Purchase from SAMSCLUB.COM  |  Address: 888-746-7726, AR, US  |  **4225",-117.52,Operating Expenses,Supplies,,27 Pillar Ln,,
LOFTY HOLDING 5541 S PEORIA STREET DAO LLC-5541 S Peoria St Operations-9125,"March 07, 2026",THE HOME DEPOT #,"Purchase from THE HOME DEPOT #  |  Address: CHICAGO, IL, US  |  **1341",-197.7,Operating Expenses,Repairs,,5541 S Peoria St,,
Strawberry LFTY402 DAO LLC-90 Madison Ave Operations-0172,"March 07, 2026",CASH APP*FLORENCE ODONG,"CASH APP*FLORENCE ODONG, Oakland, CA, US  |  **2339",-850,,,,90 Madison Ave,,
Snow Leopard LFTY0439 DAO LLC-86 Madison Ave Operations-8724,"March 07, 2026",CASH APP*FLORENCE ODONG,"CASH APP*FLORENCE ODONG, Oakland, CA, US  |  **4164",-1040,,,,86 Madison Ave,,
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"March 07, 2026",CASH APP*FLORENCE ODONG,"CASH APP*FLORENCE ODONG, Oakland, CA, US  |  **0745",-1415,,,,88 Madison Ave,,
Lychee LFTY0431 DAO LLC-84 Madison Ave Operations-2073,"March 07, 2026",CASH APP*FLORENCE ODONG,"CASH APP*FLORENCE ODONG, Oakland, CA, US  |  **5487",-830,,,,84 Madison Ave,,
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"March 07, 2026","ECO Systems, LLC  |  INTERNAL_TRANSFER","ECO Systems, LLC  |  INTERNAL_TRANSFER",40.87,Transfers & Other,Transfers Between Accounts,,82 Madison Ave,,2025 Reconciliation Reimbursement
"ECO Systems, LLC-STR Operations-0927","March 07, 2026",Heron LFTY0314 DAO LLC  |  INTERNAL_TRANSFER,Heron LFTY0314 DAO LLC  |  INTERNAL_TRANSFER,-40.87,Transfers & Other,Transfers Between Accounts,,82 Madison Ave,,2025 Reconciliation Reimbursement
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"March 07, 2026",Snow Leopard LFTY0439 DAO LLC  |  INTERNAL_TRANSFER,Snow Leopard LFTY0439 DAO LLC  |  INTERNAL_TRANSFER,-550.9,Transfers & Other,Transfers Between Accounts,,86 Madison Ave,,May-Dec 2025 Cross-Charge Reconciliation Reimbursement Overpaid
Snow Leopard LFTY0439 DAO LLC-86 Madison Ave Operations-8724,"March 07, 2026",Heron LFTY0314 DAO LLC  |  INTERNAL_TRANSFER,Heron LFTY0314 DAO LLC  |  INTERNAL_TRANSFER,550.9,Transfers & Other,Transfers Between Accounts,,86 Madison Ave,,May-Dec 2025 Cross-Charge Reconciliation Reimbursement Overpaid
"ECO Systems, LLC-ECO Systems Operations-2624","March 07, 2026",Lychee LFTY0431 DAO LLC  |  INTERNAL_TRANSFER,Lychee LFTY0431 DAO LLC  |  INTERNAL_TRANSFER,340.6,Transfers & Other,Transfers Between Accounts,,84 Madison Ave,,May-Dec 2025 Cross-Charge Reconciliation
Lychee LFTY0431 DAO LLC-84 Madison Ave Operations-2073,"March 07, 2026","ECO Systems, LLC  |  INTERNAL_TRANSFER","ECO Systems, LLC  |  INTERNAL_TRANSFER",-340.6,Transfers & Other,Transfers Between Accounts,,84 Madison Ave,,May-Dec 2025 Cross-Charge Reconciliation
"ECO Systems, LLC-ECO Systems Operations-2624","March 07, 2026",Strawberry LFTY402 DAO LLC  |  INTERNAL_TRANSFER,Strawberry LFTY402 DAO LLC  |  INTERNAL_TRANSFER,263.06,Transfers & Other,Transfers Between Accounts,,90 Madison Ave,,May-Dec 2025 Cross-Charge Reconciliation
Strawberry LFTY402 DAO LLC-90 Madison Ave Operations-0172,"March 07, 2026","ECO Systems, LLC  |  INTERNAL_TRANSFER","ECO Systems, LLC  |  INTERNAL_TRANSFER",-263.06,Transfers & Other,Transfers Between Accounts,,90 Madison Ave,,May-Dec 2025 Cross-Charge Reconciliation
"ECO Systems, LLC-ECO Systems Operations-2624","March 07, 2026",Heron LFTY0314 DAO LLC  |  INTERNAL_TRANSFER,Heron LFTY0314 DAO LLC  |  INTERNAL_TRANSFER,502.75,Transfers & Other,Transfers Between Accounts,,88 Madison Ave,,May-Dec 2025 Cross-Charge Reconciliation
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"March 07, 2026","ECO Systems, LLC  |  INTERNAL_TRANSFER","ECO Systems, LLC  |  INTERNAL_TRANSFER",-502.75,Transfers & Other,Transfers Between Accounts,,88 Madison Ave,,May-Dec 2025 Cross-Charge Reconciliation
Snow Leopard LFTY0439 DAO LLC-86 Madison Ave Operations-8724,"March 07, 2026",Strawberry LFTY402 DAO LLC  |  INTERNAL_TRANSFER,Strawberry LFTY402 DAO LLC  |  INTERNAL_TRANSFER,-269.08,Transfers & Other,Transfers Between Accounts,,86 Madison Ave,,May-Dec 2025 Cross-Charge Reconciliation
Strawberry LFTY402 DAO LLC-90 Madison Ave Operations-0172,"March 07, 2026",Snow Leopard LFTY0439 DAO LLC  |  INTERNAL_TRANSFER,Snow Leopard LFTY0439 DAO LLC  |  INTERNAL_TRANSFER,269.08,Transfers & Other,Transfers Between Accounts,,86 Madison Ave,,May-Dec 2025 Cross-Charge Reconciliation
"ECO Systems, LLC-ECO Systems Operations-2624","March 07, 2026",Snow Leopard LFTY0439 DAO LLC  |  INTERNAL_TRANSFER,Snow Leopard LFTY0439 DAO LLC  |  INTERNAL_TRANSFER,263.07,Transfers & Other,Transfers Between Accounts,,86 Madison Ave,,May-Dec 2025 Cross-Charge Reconciliation
Snow Leopard LFTY0439 DAO LLC-86 Madison Ave Operations-8724,"March 07, 2026","ECO Systems, LLC  |  INTERNAL_TRANSFER","ECO Systems, LLC  |  INTERNAL_TRANSFER",-263.07,Transfers & Other,Transfers Between Accounts,,86 Madison Ave,,May-Dec 2025 Cross-Charge Reconciliation
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"March 07, 2026","ECO Systems, LLC  |  INTERNAL_TRANSFER","ECO Systems, LLC  |  INTERNAL_TRANSFER",48.49,Transfers & Other,Transfers Between Accounts,,27 Pillar Ln,,Hospitable PriceLabs Jan-Feb 2026 Reimbursement
"ECO Systems, LLC-STR Operations-0927","March 07, 2026",Heron LFTY0314 DAO LLC  |  INTERNAL_TRANSFER,Heron LFTY0314 DAO LLC  |  INTERNAL_TRANSFER,-48.49,Transfers & Other,Transfers Between Accounts,,27 Pillar Ln,,Hospitable PriceLabs Jan-Feb 2026 Reimbursement
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"March 07, 2026",Beagle LFTY0454 DAO LLC  |  INTERNAL_TRANSFER,Beagle LFTY0454 DAO LLC  |  INTERNAL_TRANSFER,62.46,Transfers & Other,Transfers Between Accounts,,22 W Main St,,PriceLabs Hospitable Jan 2026 Reimbursement
Beagle LFTY0454 DAO LLC-22164 Umland Circle Operations-4909,"March 07, 2026",Heron LFTY0314 DAO LLC  |  INTERNAL_TRANSFER,Heron LFTY0314 DAO LLC  |  INTERNAL_TRANSFER,-62.46,Transfers & Other,Transfers Between Accounts,,22 W Main St,,PriceLabs Hospitable Jan 2026 Reimbursement
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"March 07, 2026",Beagle LFTY0454 DAO LLC  |  INTERNAL_TRANSFER,Beagle LFTY0454 DAO LLC  |  INTERNAL_TRANSFER,16.94,Transfers & Other,Transfers Between Accounts,,22 W Main St,,Hospitable Feb 28 2026 Reimbursement
Beagle LFTY0454 DAO LLC-22164 Umland Circle Operations-4909,"March 07, 2026",Heron LFTY0314 DAO LLC  |  INTERNAL_TRANSFER,Heron LFTY0314 DAO LLC  |  INTERNAL_TRANSFER,-16.94,Transfers & Other,Transfers Between Accounts,,22 W Main St,,Hospitable Feb 28 2026 Reimbursement
Beagle LFTY0454 DAO LLC-22164 Umland Circle Operations-4909,"March 07, 2026",Heron LFTY0314 DAO LLC  |  INTERNAL_TRANSFER,Heron LFTY0314 DAO LLC  |  INTERNAL_TRANSFER,-16.94,Transfers & Other,Transfers Between Accounts,,22164 Umland Circle,,Hospitable Feb 28 2026 Reimbursement
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"March 07, 2026",Beagle LFTY0454 DAO LLC  |  INTERNAL_TRANSFER,Beagle LFTY0454 DAO LLC  |  INTERNAL_TRANSFER,16.94,Transfers & Other,Transfers Between Accounts,,22164 Umland Circle,,Hospitable Feb 28 2026 Reimbursement
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"March 07, 2026",ZEBRA LFTY0476 DAO LLC  |  INTERNAL_TRANSFER,ZEBRA LFTY0476 DAO LLC  |  INTERNAL_TRANSFER,16.94,Transfers & Other,Transfers Between Accounts,,9 Country Club Ln N,,Hospitable Feb 28 2026 Reimbursement
ZEBRA LFTY0476 DAO LLC-9 Country Club Ln Operations-0716,"March 07, 2026",Heron LFTY0314 DAO LLC  |  INTERNAL_TRANSFER,Heron LFTY0314 DAO LLC  |  INTERNAL_TRANSFER,-16.94,Transfers & Other,Transfers Between Accounts,,9 Country Club Ln N,,Hospitable Feb 28 2026 Reimbursement
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"March 07, 2026",Snow Leopard LFTY0439 DAO LLC  |  INTERNAL_TRANSFER,Snow Leopard LFTY0439 DAO LLC  |  INTERNAL_TRANSFER,33.86,Transfers & Other,Transfers Between Accounts,,86 Madison Ave,,Hospitable Feb 28 2026 Reimbursement
Snow Leopard LFTY0439 DAO LLC-86 Madison Ave Operations-8724,"March 07, 2026",Heron LFTY0314 DAO LLC  |  INTERNAL_TRANSFER,Heron LFTY0314 DAO LLC  |  INTERNAL_TRANSFER,-33.86,Transfers & Other,Transfers Between Accounts,,86 Madison Ave,,Hospitable Feb 28 2026 Reimbursement
Lychee LFTY0431 DAO LLC-84 Madison Ave Operations-2073,"March 07, 2026",Heron LFTY0314 DAO LLC  |  INTERNAL_TRANSFER,Heron LFTY0314 DAO LLC  |  INTERNAL_TRANSFER,-33.86,Transfers & Other,Transfers Between Accounts,,84 Madison Ave,,Hospitable Feb 28 2026 Reimbursement
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"March 07, 2026",Lychee LFTY0431 DAO LLC  |  INTERNAL_TRANSFER,Lychee LFTY0431 DAO LLC  |  INTERNAL_TRANSFER,33.86,Transfers & Other,Transfers Between Accounts,,84 Madison Ave,,Hospitable Feb 28 2026 Reimbursement
Strawberry LFTY402 DAO LLC-90 Madison Ave Operations-0172,"March 07, 2026",Heron LFTY0314 DAO LLC  |  INTERNAL_TRANSFER,Heron LFTY0314 DAO LLC  |  INTERNAL_TRANSFER,-342.28,Transfers & Other,Transfers Between Accounts,,90 Madison Ave,,Jan-Mar 2026 Reconciliation
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"March 07, 2026",Strawberry LFTY402 DAO LLC  |  INTERNAL_TRANSFER,Strawberry LFTY402 DAO LLC  |  INTERNAL_TRANSFER,342.28,Transfers & Other,Transfers Between Accounts,,90 Madison Ave,,Jan-Mar 2026 Reconciliation
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"March 07, 2026",Strawberry LFTY402 DAO LLC  |  INTERNAL_TRANSFER,Strawberry LFTY402 DAO LLC  |  INTERNAL_TRANSFER,-113.85,Transfers & Other,Transfers Between Accounts,,88 Madison Ave,,Spectrum January - March 2026 Reimbursement
Strawberry LFTY402 DAO LLC-90 Madison Ave Operations-0172,"March 07, 2026",Heron LFTY0314 DAO LLC  |  INTERNAL_TRANSFER,Heron LFTY0314 DAO LLC  |  INTERNAL_TRANSFER,113.85,Transfers & Other,Transfers Between Accounts,,88 Madison Ave,,Spectrum January - March 2026 Reimbursement
Snow Leopard LFTY0439 DAO LLC-86 Madison Ave Operations-8724,"March 07, 2026",Strawberry LFTY402 DAO LLC  |  INTERNAL_TRANSFER,Strawberry LFTY402 DAO LLC  |  INTERNAL_TRANSFER,-38.85,Transfers & Other,Transfers Between Accounts,,86 Madison Ave,,Spectrum March 2026 Reimbursement
Strawberry LFTY402 DAO LLC-90 Madison Ave Operations-0172,"March 07, 2026",Snow Leopard LFTY0439 DAO LLC  |  INTERNAL_TRANSFER,Snow Leopard LFTY0439 DAO LLC  |  INTERNAL_TRANSFER,38.85,Transfers & Other,Transfers Between Accounts,,86 Madison Ave,,Spectrum March 2026 Reimbursement
Strawberry LFTY402 DAO LLC-90 Madison Ave Operations-0172,"March 07, 2026",Lychee LFTY0431 DAO LLC  |  INTERNAL_TRANSFER,Lychee LFTY0431 DAO LLC  |  INTERNAL_TRANSFER,38.85,Transfers & Other,Transfers Between Accounts,,84 Madison Ave,,Spectrum March 2026 Reimbursement
Lychee LFTY0431 DAO LLC-84 Madison Ave Operations-2073,"March 07, 2026",Strawberry LFTY402 DAO LLC  |  INTERNAL_TRANSFER,Strawberry LFTY402 DAO LLC  |  INTERNAL_TRANSFER,-38.85,Transfers & Other,Transfers Between Accounts,,84 Madison Ave,,Spectrum March 2026 Reimbursement
"ECO Systems, LLC-ECO Systems Operations-2624","March 07, 2026",AMAZON MKTPL*BE9O14IV1,"Purchase from AMAZON MKTPL*BE9O14IV1  |  Address: Amzn.com/bill, WA, US  |  **6683",-198.63,,,,27 Pillar Ln,,Kitchen Supplies
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"March 06, 2026",MORGAN LINEN SERVICES | 90 Madison - 5/20,MORGAN LINEN SERVICES | 90 Madison - 5/20,-183.12,,,,90 Madison Ave,,"Split from transaction 250026164 by 4/20,5/20,6/20,5/20 allocation"
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"March 06, 2026",MORGAN LINEN SERVICES | 88 Madison - 6/20,MORGAN LINEN SERVICES | 88 Madison - 6/20,-219.74,,,,88 Madison Ave,,"Split from transaction 250026164 by 4/20,5/20,6/20,5/20 allocation"
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"March 06, 2026",MORGAN LINEN SERVICES | 86 Madison - 5/20,MORGAN LINEN SERVICES | 86 Madison - 5/20,-183.12,,,,86 Madison Ave,,"Split from transaction 250026164 by 4/20,5/20,6/20,5/20 allocation"
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"March 06, 2026",MORGAN LINEN SERVICES | 84 Madison - 4/20,MORGAN LINEN SERVICES | 84 Madison - 4/20,-146.5,,,,84 Madison Ave,,"Split from transaction 250026164 by 4/20,5/20,6/20,5/20 allocation"
"ECO Systems, LLC-ECO Systems Operations-2624","March 06, 2026",CASH APP*IHAR TARASIUK,"CASH APP*IHAR TARASIUK, Oakland, CA, US  |  **4225",-300,,,,27 Pillar Ln,,
"ECO Systems, LLC-ECO Systems Operations-2624","March 06, 2026",VENMO *Charles Zivin,"VENMO *Charles Zivin, New York, NY, US  |  **4225",-560,,,,9634 S Green St,,Eviction Filing Fees
Strawberry LFTY402 DAO LLC-90 Madison Ave Operations-0172,"March 06, 2026",LOWE'S #1784,"Purchase from LOWE'S #1784  |  Address: GLENMONT, NY, US  |  **1539",-47.67,Operating Expenses,Repairs,,90 Madison Ave,,
Lychee LFTY0431 DAO LLC-84 Madison Ave Operations-2073,"March 06, 2026",LOWE'S #1784,"Purchase from LOWE'S #1784  |  Address: GLENMONT, NY, US  |  **4243",-83.12,Operating Expenses,Repairs,,84 Madison Ave,,
"ECO Systems, LLC-ECO Systems Operations-2624","March 06, 2026",VENMO *Charles Zivin,"VENMO *Charles Zivin, New York, NY, US  |  **4225",-1300,,,,7542 S Colfax Ave,,Eviction Filing Fees
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"March 06, 2026",AIRBNB PAYMENTS,AIRBNB PAYMENTS  |  SN2IUOYYRJ,1044.14,,,,88 Madison Ave,,
Lofty Holding 566 Nash Street DAO LLC-566 Nash St Operations-1505,"March 06, 2026",STRIPE,STRIPE  |  BBN7S7:REN,827.05,,,,566 Nash St,,
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"March 06, 2026",VRBO,VRBO  |  PAYMENT,147.42,,,,88 Madison Ave,,
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"March 05, 2026","Purchase from Netflix.com  |  Address: netflix.com, CA, US  |  **3073 #4","Purchase from Netflix.com  |  Address: netflix.com, CA, US  |  **3073",-6.74,,,,90 Madison Ave,,
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"March 05, 2026","Purchase from Netflix.com  |  Address: netflix.com, CA, US  |  **3073 #3","Purchase from Netflix.com  |  Address: netflix.com, CA, US  |  **3073",-6.75,,,,88 Madison Ave,,
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"March 05, 2026","Purchase from Netflix.com  |  Address: netflix.com, CA, US  |  **3073 #2","Purchase from Netflix.com  |  Address: netflix.com, CA, US  |  **3073",-6.75,,,,86 Madison Ave,,
Heron LFTY0314 DAO LLC-88 Madison Ave Operations-0181,"March 05, 2026","Purchase from Netflix.com  |  Address: netflix.com, CA, US  |  **3073 #1","Purchase from Netflix.com  |  Address: netflix.com, CA, US  |  **3073",-6.75,,,,84 Madison Ave,,
Lychee LFTY0431 DAO LLC-84 Madison Ave Operations-2073,"March 05, 2026",Walmart.com,"Purchase from Walmart.com  |  Address: Bentonville, AR, US  |  **5487",-44.22,Operating Expenses,Supplies,,84 Madison Ave,,
"ECO Systems, LLC-ECO Systems Operations-2624","March 05, 2026",CASH APP*LEROY KEIM,"CASH APP*LEROY KEIM, Oakland, CA, US  |  **4225",-750,,,,10724 Gooding Ave,,Trash-Out
"ECO Systems, LLC-STR Operations-0927","March 05, 2026",AIRBNB PAYMENTS,AIRBNB PAYMENTS  |  CAFJCUON56,807.14,,,,27 Pillar Ln,,
Snow Leopard LFTY0439 DAO LLC-86 Madison Ave Operations-8724,"March 05, 2026",AIRBNB PAYMENTS,AIRBNB PAYMENTS  |  CAFJCUON56,641.95,,,,86 Madison Ave,,
Poodle LFTY0452 DAO LLC-85-104 Alawa Pl Operations-1176,"March 05, 2026","PadSplit, Inc.","PadSplit, Inc.  |  PadSplit,",693.68,,,,85-104 Alawa Pl,,
Lofty Holding 1518 Dille Road DAO LLC-1321 Allendale Ave Operations-1138,"March 05, 2026",STRIPE,STRIPE  |  M24GQG:REN,940.5,,,,1321 Allendale Ave,,
"ECO Systems, LLC-Hemlane Operations-4420","March 05, 2026",STRIPE,STRIPE  |  HKWGK3:RAM,52.92,Operating Expenses,Repairs,,8708 Willard Ave,,
Poodle LFTY0452 DAO LLC-85-104 Alawa Pl Operations-1176,"March 05, 2026",Melio,Melio  |  TX_5291156,-1.5,Operating Expenses,Other Operating Expenses,,85-104 Alawa Pl,,
